name,manufacturer,model,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,model_year_full,origin
chevrolet chevelle malibu,chevrolet,chevelle malibu,18.0,8,307.0,130.0,3504,12.0,70,1970,Usa
buick skylark 320,buick,skylark 320,15.0,8,350.0,165.0,3693,11.5,70,1970,Usa
plymouth satellite,plymouth,satellite,18.0,8,318.0,150.0,3436,11.0,70,1970,Usa
amc rebel sst,amc,rebel sst,16.0,8,304.0,150.0,3433,12.0,70,1970,Usa
ford torino,ford,torino,17.0,8,302.0,140.0,3449,10.5,70,1970,Usa
ford galaxie 500,ford,galaxie 500,15.0,8,429.0,198.0,4341,10.0,70,1970,Usa
chevrolet impala,chevrolet,impala,14.0,8,454.0,220.0,4354,9.0,70,1970,Usa
plymouth fury iii,plymouth,fury iii,14.0,8,440.0,215.0,4312,8.5,70,1970,Usa
pontiac catalina,pontiac,catalina,14.0,8,455.0,225.0,4425,10.0,70,1970,Usa
amc ambassador dpl,amc,ambassador dpl,15.0,8,390.0,190.0,3850,8.5,70,1970,Usa
dodge challenger se,dodge,challenger se,15.0,8,383.0,170.0,3563,10.0,70,1970,Usa
plymouth 'cuda 340,plymouth,'cuda 340,14.0,8,340.0,160.0,3609,8.0,70,1970,Usa
chevrolet monte carlo,chevrolet,monte carlo,15.0,8,400.0,150.0,3761,9.5,70,1970,Usa
buick estate wagon (sw),buick,estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,70,1970,Usa
toyota corona mark ii,toyota,corona mark ii,24.0,4,113.0,95.0,2372,15.0,70,1970,Japan
plymouth duster,plymouth,duster,22.0,6,198.0,95.0,2833,15.5,70,1970,Usa
amc hornet,amc,hornet,18.0,6,199.0,97.0,2774,15.5,70,1970,Usa
ford maverick,ford,maverick,21.0,6,200.0,85.0,2587,16.0,70,1970,Usa
datsun pl510,datsun,pl510,27.0,4,97.0,88.0,2130,14.5,70,1970,Japan
volkswagen 1131 deluxe sedan,volkswagen,1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,70,1970,Europe
peugeot 504,peugeot,504,25.0,4,110.0,87.0,2672,17.5,70,1970,Europe
audi 100 ls,audi,100 ls,24.0,4,107.0,90.0,2430,14.5,70,1970,Europe
saab 99e,saab,99e,25.0,4,104.0,95.0,2375,17.5,70,1970,Europe
bmw 2002,bmw,2002,26.0,4,121.0,113.0,2234,12.5,70,1970,Europe
